,State,Commodity,RMSE,ABS
0,NE,CORN,8.024208046450894,5.013636363636365
1,IA,CORN,13.259755371046634,9.863500000000002
2,IL,CORN,21.90854765828358,15.304009433962264
3,MN,CORN,19.014747566034107,14.653921568627453
4,IN,CORN,22.363975096730748,16.95372807017544
5,KS,CORN,9.58741152874062,7.2834821428571415
6,ND,CORN,15.23080208577099,10.580555555555556
7,CO,CORN,10.724741057700042,7.725943396226415
8,KY,CORN,14.231431158267252,11.492067307692308
9,MI,CORN,15.61892240134276,10.43854166666667
10,MO,CORN,14.175730862502684,12.175231481481482
11,NC,CORN,11.239245259999583,6.469471153846154
12,OH,CORN,23.46276664954085,18.353427419354837
13,PA,CORN,14.530802412461606,11.090466101694917
14,SD,CORN,18.975284449940144,12.993859649122806
15,TN,CORN,13.910310502690082,10.37924107142857
16,TX,CORN,8.197642729376119,6.550856164383561
17,WI,CORN,12.865474219682747,8.714955357142857
